,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
18/07/2017,162.86,65.65,,1024.45,100.43
19/07/2017,164.14,65.05,,1026.87,97.92
20/07/2017,164.53,65.98,,1028.7,97.38
21/07/2017,164.43,65.68,,1025.67,92.57
24/07/2017,166,68.5,,1038.95,95.02
25/07/2017,165.28,67.92,,1039.87,94.36
26/07/2017,165.61,68.77,,1052.8,94.22
27/07/2017,170.44,66.89,,1046,96.98
28/07/2017,172.45,67.01,,1020.04,96.21
31/07/2017,169.25,64.69,,987.78,98.93
01/08/2017,169.86,63.91,,996.19,98.25
02/08/2017,169.3,65.18,,995.89,102.1
03/08/2017,168.59,69.42,,986.92,102.91
04/08/2017,169.62,71.38,,987.58,106.41
07/08/2017,171.98,71.03,,992.27,102.99
08/08/2017,171.23,73.04,,989.84,104.11
09/08/2017,171.18,72.71,,982.01,107.27
10/08/2017,167.4,71.08,,956.92,109.36
11/08/2017,168.08,71.57,,967.99,99.49
14/08/2017,170.75,72.76,,983.3,96.2
15/08/2017,171,72.47,,982.74,99.89
16/08/2017,170,72.58,,978.18,98.71
17/08/2017,166.91,70.38,,960.57,99.84
18/08/2017,167.41,69.49,,958.47,99.71
21/08/2017,167.78,67.57,,953.29,99.4
22/08/2017,169.64,68.27,,966.9,97.03
23/08/2017,168.71,70.55,,958,100.01
24/08/2017,167.74,70.59,,952.45,98.77
25/08/2017,166.32,69.61,,945.26,98.97
28/08/2017,167.24,69.13,,946.02,98.04
29/08/2017,168.05,69.47,,954.06,103.89
30/08/2017,169.92,70.64,,967.59,104.89
31/08/2017,171.97,71.18,,980.6,108.56
01/09/2017,172.02,71.08,,978.25,110.17
05/09/2017,170.72,69.92,,965.27,110.41
06/09/2017,172.09,68.91,,967.8,111.81
07/09/2017,173.21,70.12,,979.47,113.36
08/09/2017,170.95,68.68,,965.9,112.09
11/09/2017,173.51,72.74,,977.96,103.67
12/09/2017,172.96,72.55,,982.58,103.82
13/09/2017,173.05,73.25,,999.6,103.27
14/09/2017,170.96,75.53,,992.21,96.62
15/09/2017,171.64,75.96,,986.79,95.28
18/09/2017,170.01,77,,974.19,95.77
19/09/2017,172.52,75.02,,969.86,99.79
20/09/2017,172.17,74.78,,973.21,100.77
21/09/2017,171.11,73.3,,964.65,104.11
22/09/2017,170.54,70.22,,955.1,101.4
25/09/2017,162.87,69,,939.79,103.21
26/09/2017,164.21,69.05,,938.6,103.23
27/09/2017,167.68,68.19,,950.87,105.22
28/09/2017,168.73,67.92,,956.4,107.62
29/09/2017,170.87,68.22,,961.35,105.73
02/10/2017,169.47,68.31,,959.19,105.24
03/10/2017,169.96,69.63,,957.1,104.8
04/10/2017,168.42,71,,965.45,103.86
05/10/2017,171.24,71.07,,980.85,104.84
06/10/2017,172.23,71.38,,989.58,104.5
09/10/2017,172.5,68.59,,990.99,102.39
10/10/2017,171.59,71.12,,987.2,101
11/10/2017,172.74,70.92,,995,105.49
12/10/2017,172.55,71.14,,1000.93,107.75
13/10/2017,173.74,71.11,,1002.94,109.95
16/10/2017,174.52,70.12,,1006.34,110.58
17/10/2017,176.11,71.15,,1009.13,112.35
18/10/2017,176.03,71.93,,997,110.73
19/10/2017,174.56,70.36,,986.61,111
20/10/2017,174.98,69.02,,982.91,111.13
23/10/2017,171.27,67.4,,966.3,112.8
24/10/2017,171.8,67.47,,975.9,111.92
25/10/2017,170.6,65.17,,972.91,114.91
26/10/2017,170.63,65.23,,972.43,114.8
27/10/2017,177.88,64.17,,1100.95,115.48
30/10/2017,179.87,64.02,,1110.85,119.43
31/10/2017,180.06,66.31,,1105.28,118.69
01/11/2017,182.66,64.22,,1103.68,119.67
02/11/2017,178.92,59.85,,1094.22,124.9
